"stat_property","month_edit","no_statement","no_claim","stat_claim_ratio"
"P150","2013-12",383,3739,9.76240208877285
"P682","2015-12",695,6653,9.5726618705036
"P704","2014-08",100,957,9.57
"P1308","2016-08",13,124,9.53846153846154
"P530","2015-10",4,38,9.5
"P150","2013-02",28,264,9.42857142857143
"P2417","2016-04",27,254,9.40740740740741
"P398","2013-04",21,197,9.38095238095238
"P2284","2016-08",11,103,9.36363636363636
"P150","2015-05",66,612,9.27272727272727
"P161","2014-11",9813,90669,9.23968205441761
"P704","2014-05",5,46,9.2
"P150","2015-04",73,670,9.17808219178082
"P638","2013-12",119,1088,9.14285714285714
"P1202","2015-12",1,9,9
"P1593","2016-03",1,9,9
"P199","2016-05",1,9,9
"P205","2014-12",1,9,9
"P520","2014-06",1,9,9
"P578","2016-02",1,9,9
"P681","2014-08",1,9,9
"P78","2014-03",1,9,9
"P780","2015-01",1,9,9
"P832","2015-11",1,9,9
"P1923","2016-05",27,242,8.96296296296296
"P638","2016-01",114,1016,8.91228070175439
"P726","2015-05",20,177,8.85
"P1383","2014-09",18,159,8.83333333333333
"P832","2013-08",6,53,8.83333333333333
"P2321","2016-07",112,985,8.79464285714286
"P1923","2016-06",100,879,8.79
"P35","2013-09",4,35,8.75
"P150","2016-09",95,830,8.73684210526316
"P674","2016-03",47,405,8.61702127659574
"P2240","2016-07",10,86,8.6
"P710","2015-09",84,718,8.54761904761905
"P150","2014-01",187,1598,8.54545454545454
"P200","2013-08",2,17,8.5
"P521","2016-07",2,17,8.5
"P832","2013-11",2,17,8.5
"P832","2014-02",2,17,8.5
"P832","2016-02",2,17,8.5
"P780","2015-10",647,5499,8.49922720247295
"P2417","2016-05",31,263,8.48387096774194
"P150","2013-03",572,4851,8.48076923076923
"P1445","2015-07",42,354,8.42857142857143
"P2417","2016-07",62,521,8.40322580645161
"P725","2015-06",10,84,8.4
"P1383","2014-11",21,176,8.38095238095238
"P1445","2015-06",8,67,8.375
"P2302","2015-11",11,92,8.36363636363636
"P150","2013-05",280,2336,8.34285714285714
"P1923","2016-01",12,100,8.33333333333333
"P1542","2016-01",31,257,8.29032258064516
"P150","2016-01",63,517,8.20634920634921
"P682","2014-05",11,90,8.18181818181818
"P704","2016-07",7,57,8.14285714285714
"P494","2014-05",111,892,8.03603603603604
"P725","2016-06",32,257,8.03125
"P1137","2014-02",2,16,8
"P121","2014-10",44,352,8
"P1603","2015-12",2,16,8
"P1683","2016-09",2,16,8
"P1891","2016-10",1,8,8
"P2204","2016-03",1,8,8
"P2315","2016-08",1,8,8
"P680","2014-01",2,16,8
"P710","2013-09",9,72,8
"P940","2014-10",1,8,8
"P725","2016-02",21,166,7.90476190476191
"P121","2014-12",57,450,7.89473684210526
"P1308","2015-06",7,55,7.85714285714286
"P974","2015-09",28,218,7.78571428571429
"P682","2015-10",20717,160744,7.75903847082107
"P1845","2015-04",4,31,7.75
"P725","2016-08",86,665,7.73255813953488
"P2321","2016-06",58,448,7.72413793103448
"P150","2015-09",93,714,7.67741935483871
"P530","2016-06",3,23,7.66666666666667
"P2417","2016-06",19,145,7.63157894736842
"P150","2015-08",64,485,7.578125
"P150","2014-10",131,985,7.51908396946565
"P150","2016-10",2,15,7.5
"P1603","2016-01",2,15,7.5
"P704","2016-04",2,15,7.5
"P638","2015-09",501,3723,7.4311377245509
"P710","2015-07",217,1603,7.38709677419355
"P726","2015-06",8,59,7.375
"P1963","2016-09",37,272,7.35135135135135
"P2093","2015-09",291,2129,7.31615120274914
"P2093","2015-12",10,73,7.3
"P704","2014-09",17757,129007,7.26513487638678
"P161","2016-04",1037,7488,7.22082931533269
"P658","2014-03",14,101,7.21428571428571
"P710","2014-06",54,389,7.2037037037037
"P674","2014-02",81,581,7.17283950617284
"P681","2013-08",7,50,7.14285714285714
"P1082","2014-09",12550,89344,7.11904382470119
"P1075","2015-12",1,7,7
"P1192","2015-08",1,7,7
"P1671","2015-06",1,7,7
"P1787","2015-03",1,7,7
"P1951","2015-08",1,7,7
"P205","2014-04",2,14,7
"P2284","2016-05",6,42,7
"P369","2015-09",1,7,7
"P370","2015-01",1,7,7
"P492","2014-02",1,7,7
"P521","2016-02",1,7,7
"P598","2013-10",1,7,7
"P658","2013-09",1,7,7
"P658","2013-12",3,21,7
"P680","2013-08",7,49,7
"P738","2014-03",1,7,7
"P704","2015-10",18311,127709,6.97444159248539
"P150","2013-11",65,451,6.93846153846154
"P639","2014-11",11,76,6.90909090909091
"P180","2015-01",987,6799,6.88855116514691
"P1383","2015-01",25,172,6.88
"P2321","2016-09",194,1332,6.8659793814433
"P704","2013-08",7,48,6.85714285714286
"P704","2016-01",13,89,6.84615384615385
"P832","2013-09",35,238,6.8
"P2300","2016-07",9,61,6.77777777777778
"P1082","2014-10",3126,21177,6.77447216890595
"P1923","2016-04",68,459,6.75
"P2176","2016-05",24,162,6.75
"P704","2015-02",4,27,6.75
"P161","2016-03",1641,10933,6.66240097501523
"P150","2016-06",173,1150,6.64739884393064
"P2284","2016-06",18,119,6.61111111111111
"P150","2015-12",63,414,6.57142857142857
"P2321","2016-08",90,588,6.53333333333333
"P704","2013-12",300,1953,6.51
"P150","2014-06",188,1223,6.50531914893617
"P1445","2015-04",2,13,6.5
"P185","2013-07",2,13,6.5
"P266","2013-04",4,26,6.5
"P658","2016-07",4,26,6.5
"P682","2013-07",8,52,6.5
"P710","2014-10",74,481,6.5
"P738","2013-11",6,39,6.5
"P710","2016-03",123,797,6.47967479674797
"P2093","2016-01",10720,69080,6.44402985074627
"P1411","2016-04",465,2995,6.44086021505376
"P704","2013-07",7,45,6.42857142857143
"P1542","2016-02",13,83,6.38461538461539
"P2176","2016-04",785,5009,6.38089171974522
"P150","2016-07",142,903,6.35915492957746
"P704","2015-11",356,2254,6.3314606741573
"P161","2015-09",741,4670,6.30229419703104
"P199","2013-07",17,107,6.29411764705882
"P704","2016-09",7,44,6.28571428571429
"P7","2015-04",2158,13525,6.26737720111214
"P726","2016-04",4,25,6.25
"P134","2013-04",5,31,6.2
"P2989","2016-09",11,68,6.18181818181818
"P682","2015-11",12018,74103,6.16600099850225
"P150","2014-11",79,486,6.15189873417722
"P1383","2015-02",73,449,6.15068493150685
"P3176","2016-09",36,221,6.13888888888889
"P710","2015-03",154,945,6.13636363636364
"P2275","2015-11",15,92,6.13333333333333
"P2300","2016-04",10,61,6.1
"P725","2016-05",31,189,6.09677419354839
"P704","2013-09",1588,9673,6.09130982367758
"P150","2015-10",114,691,6.06140350877193
"P680","2013-12",298,1803,6.0503355704698
"P780","2015-12",21,127,6.04761904761905
"P2176","2016-08",40,241,6.025
"P150","2014-07",133,801,6.02255639097744
"P492","2015-03",48,289,6.02083333333333
"P1012","2013-11",4,24,6
"P1029","2015-02",6,36,6
"P1029","2016-05",1,6,6
"P1106","2014-02",1,6,6
"P1106","2015-12",1,6,6
"P1308","2016-02",9,54,6
"P134","2013-07",1,6,6
"P134","2015-04",1,6,6
"P134","2016-09",1,6,6
"P1363","2016-01",2,12,6
"P1372","2015-09",1,6,6
"P1538","2016-08",2,12,6
"P1603","2016-04",1,6,6
"P1651","2016-10",1,6,6
"P1683","2016-04",1,6,6
"P1951","2015-07",1,6,6
"P205","2016-02",1,6,6
"P2295","2016-04",1,6,6
"P2297","2016-08",1,6,6
"P2535","2016-02",1,6,6
"P2643","2016-03",1,6,6
"P507","2013-09",1,6,6
"P578","2013-06",1,6,6
"P578","2015-09",1,6,6
"P626","2013-06",2,12,6
"P658","2014-09",3,18,6
"P704","2014-07",1,6,6
"P705","2014-07",1,6,6
"P726","2013-09",2,12,6
"P728","2014-10",1,6,6
"P738","2015-10",2,12,6
"P780","2013-08",7,42,6
"P780","2014-08",1,6,6
"P90","2013-02",1,6,6
"P940","2014-07",5,30,6
"P940","2015-01",1,6,6
"P940","2015-06",1,6,6
"P940","2016-08",1,6,6
"P974","2015-05",2,12,6
"P150","2016-05",163,975,5.98159509202454
"P161","2015-01",4595,27481,5.98063112078346
"P674","2014-11",45,269,5.97777777777778
"P1538","2016-07",391,2330,5.95907928388747
"P2176","2016-07",15,89,5.93333333333333
"P47","2014-08",4670,27684,5.92805139186296
"P1652","2015-05",12,71,5.91666666666667
"P47","2014-09",1691,10005,5.91661738616203
"P680","2013-09",1575,9303,5.90666666666667
"P355","2013-10",9,53,5.88888888888889
"P161","2016-02",3444,20227,5.87311265969803
"P161","2015-03",794,4660,5.86901763224181
"P608","2014-10",29,170,5.86206896551724
"P940","2014-03",7,41,5.85714285714286
"P1891","2015-06",6,35,5.83333333333333
"P658","2014-08",12,70,5.83333333333333
"P638","2015-11",1556,9031,5.80398457583548
"P2321","2016-05",35,203,5.8
"P527","2016-05",689,3991,5.79245283018868
"P2321","2016-04",41,237,5.78048780487805
"P161","2016-05",1216,7029,5.78042763157895
"P199","2013-06",17,98,5.76470588235294
"P726","2016-08",8,46,5.75
"P802","2013-12",4,23,5.75
"P974","2015-07",4,23,5.75
"P161","2015-04",838,4816,5.74701670644391
"P639","2015-01",39,224,5.74358974358974
"P1963","2015-10",31,178,5.74193548387097
"P180","2014-04",490,2800,5.71428571428571
"P1923","2016-07",56,320,5.71428571428571
"P286","2013-10",7,40,5.71428571428571
"P444","2013-04",7,40,5.71428571428571
"P2093","2016-06",101980,582194,5.70890370660914
"P161","2015-05",547,3119,5.70201096892139
"P2300","2016-06",10,57,5.7
"P530","2014-06",10,57,5.7
"P658","2014-04",13,74,5.69230769230769
"P150","2016-02",192,1091,5.68229166666667
"P710","2016-01",59,335,5.67796610169492
"P134","2014-11",3,17,5.66666666666667
"P710","2016-05",148,838,5.66216216216216
"P638","2015-10",5509,31020,5.63078598656744
"P1411","2015-11",286,1608,5.62237762237762
"P2093","2015-10",13580,75932,5.59145802650957
"P185","2013-04",7,39,5.57142857142857
"P704","2016-03",7,39,5.57142857142857
"P1963","2016-08",15,83,5.53333333333333
"P47","2013-05",9393,51916,5.52709464494837
"P2789","2016-08",60,331,5.51666666666667
"P2417","2016-08",62,342,5.51612903225806
"P710","2015-08",138,760,5.50724637681159
"P681","2013-09",1586,8732,5.50567465321564
"P1338","2014-06",2,11,5.5
"P150","2014-02",222,1221,5.5
"P166","2013-02",8,44,5.5
"P1990","2015-12",2,11,5.5
"P2321","2015-11",2,11,5.5
"P369","2013-08",2,11,5.5
"P450","2015-08",4,22,5.5
"P468","2016-08",4,22,5.5
"P494","2014-10",10,55,5.5
"P638","2014-08",2,11,5.5
"P658","2015-05",6,33,5.5
"P681","2013-07",8,44,5.5
"P725","2013-12",2,11,5.5
"P738","2015-07",8,44,5.5
"P780","2016-05",8,44,5.5
"P940","2014-02",2,11,5.5
"P150","2016-04",317,1742,5.49526813880126
"P150","2015-01",71,390,5.49295774647887
"P190","2013-11",13,71,5.46153846153846
"P190","2013-04",57,309,5.42105263157895
"P1383","2015-03",69,374,5.42028985507246
"P2860","2016-07",31990,173349,5.41884964051266
"P1411","2016-03",342,1851,5.41228070175439
"P2239","2015-12",5,27,5.4
"P710","2015-04",68,365,5.36764705882353
"P150","2014-12",42,224,5.33333333333333
"P1994","2015-11",3,16,5.33333333333333
"P658","2016-06",3,16,5.33333333333333
"P725","2016-04",33,176,5.33333333333333
"P728","2015-06",3,16,5.33333333333333
"P728","2015-09",3,16,5.33333333333333
"P823","2016-08",3,16,5.33333333333333
"P974","2013-11",3,16,5.33333333333333
"P1344","2015-08",565,3002,5.31327433628319
"P161","2015-06",417,2207,5.29256594724221
"P150","2016-08",394,2073,5.26142131979695
"P1552","2015-09",4,21,5.25
"P2860","2016-05",28,147,5.25
"P942","2015-11",4,21,5.25
"P150","2015-11",50,262,5.24
"P1346","2016-02",448,2347,5.23883928571429
"P1075","2016-01",9,47,5.22222222222222
"P444","2013-09",9,47,5.22222222222222
"P726","2016-07",9,47,5.22222222222222
"P674","2013-07",14,73,5.21428571428571
"P1056","2014-07",48,250,5.20833333333333
"P47","2013-09",2372,12346,5.20489038785835
"P47","2014-06",6567,34151,5.20039591898888
"P161","2013-02",5,26,5.2
"P38","2013-08",5,26,5.2
"P639","2016-07",65,338,5.2
"P200","2013-03",27,140,5.18518518518519
"P444","2013-07",6,31,5.16666666666667
"P121","2013-05",20,103,5.15
"P161","2015-07",543,2785,5.12891344383057
"P767","2014-11",8,41,5.125
"P710","2015-02",124,635,5.12096774193548
"P710","2014-08",44,225,5.11363636363636
"P1302","2016-06",14,71,5.07142857142857
"P161","2015-10",670,3396,5.06865671641791
"P674","2016-06",31,157,5.06451612903226
"P2860","2016-09",39878,201683,5.05750037614725
"P528","2013-08",7909,39996,5.05702364394993
"P527","2013-07",110,555,5.04545454545455
"P689","2015-10",689,3464,5.02757619738752
"P47","2016-04",29410,147704,5.02223733424005
"P150","2014-03",146,731,5.00684931506849
"P180","2015-02",734,3675,5.00681198910082
"P47","2016-08",734,3675,5.00681198910082
"P1029","2015-05",1,5,5
"P1029","2015-06",2,10,5
"P113","2016-07",1,5,5
"P1137","2016-05",6,30,5
"P1192","2014-08",1,5,5
"P1193","2016-08",1,5,5
"P1202","2014-08",1,5,5
"P121","2013-08",1,5,5
"P1246","2015-07",4,20,5
"P1264","2015-01",1,5,5
"P128","2015-02",1,5,5
"P1283","2014-05",4,20,5
"P1302","2015-01",1,5,5
"P1308","2014-05",1,5,5
"P134","2016-02",2,10,5
"P1363","2015-07",1,5,5
"P1450","2016-07",1,5,5
"P1830","2016-10",1,5,5
"P1843","2015-04",1,5,5
"P185","2014-11",2,10,5
"P1859","2015-12",1,5,5
"P1951","2015-09",1,5,5
"P199","2016-03",1,5,5
"P210","2014-06",1,5,5
"P2176","2016-10",1,5,5
"P2271","2016-08",1,5,5
"P2295","2016-08",3,15,5
"P2317","2016-02",1,5,5
"P2377","2016-04",1,5,5
"P267","2013-10",1,5,5
"P2712","2016-05",1,5,5
"P2825","2016-07",2,10,5
"P2844","2016-05",2,10,5
"P2989","2016-07",11,55,5
"P35","2013-10",3,15,5
"P38","2014-11",4,20,5
"P398","2014-04",1,5,5
"P482","2013-05",1,5,5
"P554","2015-11",1,5,5
"P637","2014-08",1,5,5
"P638","2016-09",1,5,5
"P681","2014-05",3,15,5
"P681","2014-06",1,5,5
"P695","2013-11",1,5,5
"P704","2014-01",2,10,5
"P704","2014-06",1,5,5
"P726","2016-03",4,20,5
"P728","2015-01",1,5,5
"P767","2014-08",25,125,5
"P767","2015-06",11,55,5
"P769","2014-10",1,5,5
"P794","2014-04",1,5,5
"P846","2014-04",1,5,5
"P859","2015-03",3,15,5
"P873","2013-09",1,5,5
"P924","2015-01",1,5,5
"P528","2013-09",4661,23208,4.97918901523278
"P121","2014-07",19,94,4.94736842105263
"P47","2013-10",268,1323,4.9365671641791
"P1192","2014-02",11,54,4.90909090909091
"P639","2016-09",11,54,4.90909090909091
"P47","2013-06",130,638,4.90769230769231
"P150","2014-08",40,196,4.9
"P738","2014-04",10,49,4.9
"P1455","2016-06",57,279,4.89473684210526
"P37","2016-05",26,127,4.88461538461539
"P47","2013-02",822,3997,4.8625304136253
"P2093","2016-07",3210,15597,4.8588785046729
"P2239","2016-02",6,29,4.83333333333333
"P190","2013-03",165,794,4.81212121212121
"P1261","2015-10",21,101,4.80952380952381
"P728","2014-07",5,24,4.8
"P47","2015-03",938,4489,4.78571428571429
"P47","2015-12",718,3434,4.78272980501393
"P47","2015-08",253,1210,4.78260869565217
"P47","2013-07",444,2123,4.78153153153153
"P180","2015-07",1224,5852,4.78104575163399
"P710","2016-04",140,669,4.77857142857143
"P527","2015-01",3120,14879,4.76891025641026
"P1121","2014-02",32,152,4.75
"P658","2015-02",8,38,4.75
"P680","2013-07",8,38,4.75
"P940","2014-01",12,57,4.75
"P47","2014-02",106,501,4.72641509433962
"P2284","2016-09",25,118,4.72
"P161","2013-05",71507,337475,4.71946802410953
"P47","2014-01",208,981,4.71634615384615
"P1346","2016-01",249,1174,4.714859437751
"P658","2015-08",7,33,4.71428571428571
